actor,date,implementer,ngo,status,paid_amount,total_amount
"Australia, Government of",2020-03-01,World Health Organization,False,commitment,0,391389
"Australia, Government of",2020-04-09,World Food Programme,False,paid,1270423,1270423
"Australia, Government of",2020-06-09,United Nations Children's Fund,False,paid,3302358,3302358
"Australia, Government of",2020-04-20,World Health Organization,False,paid,615006,615006
"Australia, Government of",2020-06-19,World Health Organization,False,commitment,0,1088537
"Australia, Government of",2020-05-27,International Organization for Migration,False,commitment,1845018,2789901
"Australia, Government of",2020-11-24,United Nations Children's Fund,False,paid,130603,130603
"Australia, Government of",2020-06-08,United Nations Children's Fund,False,paid,59761,59761
"Australia, Government of",2020-06-22,World Health Organization,False,commitment,0,2415459
"Australia, Government of",2020-06-30,United Nations Population Fund,False,paid,4070054,4070054
"Australia, Government of",2020-06-05,United Nations High Commissioner for Refugees,False,paid,4373108,4373108
"Australia, Government of",2020-05-26,Australian Red Cross,False,paid,195822,195822
"Australia, Government of",2020-07-14,World Health Organization,False,commitment,0,4278813
"Australia, Government of",2020-06-12,International Organization for Migration,False,commitment,0,450000
"Australia, Government of",2020-06-01,International Organization for Migration,False,commitment,0,996016
"Australia, Government of",2020-05-29,United Nations Population Fund,False,paid,261096,261096
"Australia, Government of",2020-05-28,United Nations Population Fund,False,paid,1631853,1631853
"Australia, Government of",2020-03-19,World Food Programme,False,paid,1404814,1404814
"Australia, Government of",2020-06-03,World Food Programme,False,paid,996016,996016
"Australia, Government of",2020-04-01,United Nations Population Fund,False,commitment,0,13027998
"Australia, Government of",2020-12-07,United Nations Children's Fund,False,paid,363636,363636
"Australia, Government of",2020-06-23,United Nations Population Fund,False,paid,315220,315220
"Australia, Government of",2020-06-04,United Nations Children's Fund,False,paid,3320053,3320053
"Australia, Government of",2020-12-01,International Organization for Migration,False,commitment,0,202847
"Australia, Government of",2020-11-09,World Health Organization,False,commitment,0,277572
"New Zealand, Government of",2020-02-20,World Health Organization,False,commitment,0,648929
"New Zealand, Government of",2020-04-24,United Nations Children's Fund,False,paid,304136,304136
"New Zealand, Government of",2020-05-01,"Kiribati, Government of",False,paid,1049136,1658892
"New Zealand, Government of",2020-05-15,United Nations Children's Fund,False,paid,3171294,3171294
"New Zealand, Government of",2020-06-30,International Organization for Migration,False,commitment,0,50000
"New Zealand, Government of",2020-09-09,World Health Organization,False,commitment,0,1333333
"New Zealand, Government of",2020-06-01,"Tokelau, Government of",False,paid,2145484,2145484
"New Zealand, Government of",2020-09-25,"Samoa, Government of",False,paid,593969,593969
"New Zealand, Government of",2020-04-01,"Vanuatu, Government of",False,paid,2381436,2381436
"New Zealand, Government of",2020-08-01,"Cook Islands, Government of",False,paid,21600,21600
"New Zealand, Government of",2020-03-01,"Fiji, Government of",False,paid,501265,501265
"New Zealand, Government of",2020-09-01,World Health Organization,False,commitment,0,671592
"New Zealand, Government of",2020-12-01,International Organization for Migration,False,commitment,0,1250000
"Norway, Government of",2020-03-13,World Health Organization,False,commitment,2488248,3621136
"Norway, Government of",2020-04-23,International Federation of Red Cross and Red Crescent Societies,False,commitment,3899776,10661968
"Norway, Government of",2020-04-07,ACT Alliance / Norwegian Church Aid,True,paid,1352184,1352184
"Norway, Government of",2020-06-03,International Organization for Migration,False,paid,4879358,4879358
"Norway, Government of",2020-05-14,Norwegian Red Cross,False,commitment,0,2897710
"Norway, Government of",2020-06-01,International Organization for Migration,False,commitment,105190,406896
"Norway, Government of",2020-05-08,United Nations High Commissioner for Refugees,False,paid,1497150,1497150
"Norway, Government of",2020-06-30,Norwegian Red Cross,False,paid,3132371,3132371
"Norway, Government of",2020-07-20,Norwegian Red Cross,False,commitment,3415287,5016483
"Norway, Government of",2019-11-30,United Nations Population Fund,False,paid,925000,925000
"Norway, Government of",2020-05-31,Norwegian Refugee Council,True,paid,700000,700000
"Norway, Government of",2020-08-13,Plan Norge,True,paid,839037,839037
"Norway, Government of",2020-10-08,United Nations Children's Fund,False,commitment,0,48263
"Norway, Government of",2020-09-30,Caritas Norway,True,paid,81776,81776
"Norway, Government of",2020-10-06,United Nations Children's Fund,False,paid,3013739,3013739
"Norway, Government of",2020-08-31,World Food Programme,False,paid,1117818,1117818
"Norway, Government of",2020-06-08,Save the Children,True,paid,197954,197954
"Norway, Government of",2020-10-31,Caritas Norway,True,paid,88642,88642
"Korea, Republic of, Government of",2020-03-24,World Health Organization,False,commitment,0,3000000
"Korea, Republic of, Government of",2020-02-21,United Nations Children's Fund,False,paid,300000,300000
"Korea, Republic of, Government of",2020-04-20,United Nations Children's Fund,False,paid,2500000,2500000
"Korea, Republic of, Government of",2020-04-07,World Food Programme,False,paid,3000000,3000000
"Korea, Republic of, Government of",2020-05-15,World Health Organization,False,commitment,0,300000
"Korea, Republic of, Government of",2020-06-24,United Nations Children's Fund,False,paid,500000,500000
"Korea, Republic of, Government of",2018-08-01,United Nations Population Fund,False,paid,2500000,2500000
"Korea, Republic of, Government of",2020-08-25,United Nations Children's Fund,False,paid,100000,100000
"Korea, Republic of, Government of",2020-08-11,Food & Agriculture Organization of the United Nations,False,commitment,0,1000000
"Korea, Republic of, Government of",2020-09-09,World Health Organization,False,commitment,0,999380
"Korea, Republic of, Government of",2020-08-26,International Organization for Migration,False,paid,500000,500000
"Korea, Republic of, Government of",2020-10-06,United Nations Children's Fund,False,paid,200000,200000
"Korea, Republic of, Government of",2020-06-18,World Food Programme,False,paid,1500000,1500000
"Korea, Republic of, Government of",2020-07-28,World Food Programme,False,paid,500000,500000
"Korea, Republic of, Government of",2020-08-20,World Health Organization,False,commitment,0,500000
"Korea, Republic of, Government of",2020-12-01,International Organization for Migration,False,commitment,0,510000
"Switzerland, Government of",2020-02-29,Swiss Development Cooperation/Swiss Humanitarian Aid,False,commitment,0,949433
"Switzerland, Government of",2020-04-14,World Health Organization,False,commitment,0,388537
"Switzerland, Government of",2020-04-20,World Food Programme,False,paid,767063,767063
"Switzerland, Government of",2020-04-27,Swiss Development Cooperation/Swiss Humanitarian Aid,False,paid,1556340,1556340
"Switzerland, Government of",2020-04-30,World Food Programme,False,paid,1027749,5094360
"Switzerland, Government of",2020-05-06,United Nations Children's Fund,False,paid,315000,315000
"Switzerland, Government of",2020-05-11,United Nations Children's Fund,False,paid,205550,205550
"Switzerland, Government of",2020-05-12,United Nations Children's Fund,False,paid,770812,770812
"Switzerland, Government of",2020-05-18,Oficina Panamericana de la Salud,True,commitment,0,513875
"Switzerland, Government of",2020-05-15,World Health Organization,False,commitment,0,310000
"Switzerland, Government of",2020-04-29,United Nations Population Fund,False,paid,200000,200000
"Switzerland, Government of",2020-04-07,World Food Programme,False,paid,2124936,2124936
"Switzerland, Government of",2020-05-27,World Food Programme,False,paid,1779390,1779390
"Switzerland, Government of",2020-05-31,MEDAIR,True,commitment,0,1123479
"Switzerland, Government of",2020-06-15,Première Urgence Internationale,True,commitment,0,3103086
"Switzerland, Government of",2020-04-18,United Nations High Commissioner for Refugees,False,paid,258532,258532
"Switzerland, Government of",2020-06-30,Aga Khan Foundation,True,commitment,0,1175669
"Switzerland, Government of",2020-07-02,World Food Programme,False,paid,619835,619835
"Switzerland, Government of",2020-10-06,United Nations Children's Fund,False,paid,717400,717400
"Switzerland, Government of",2020-06-14,International Organization for Migration,False,commitment,0,641986
"Switzerland, Government of",2020-07-28,International Organization for Migration,False,commitment,0,51798
"Switzerland, Government of",2020-06-02,International Organization for Migration,False,commitment,0,50000
"Switzerland, Government of",2020-06-10,United Nations Population Fund,False,paid,16181,16181
"Switzerland, Government of",2020-06-18,United Nations High Commissioner for Refugees,False,paid,265675,265675
"Switzerland, Government of",2020-07-31,Vétérinaires sans Frontières (Switzerland),True,commitment,2937500,17101207
"Switzerland, Government of",2020-07-01,United Nations High Commissioner for Refugees,False,paid,526870,526870
"Switzerland, Government of",2019-09-30,International Organization for Migration,False,paid,244245,244245
"Switzerland, Government of",2020-09-21,World Food Programme,False,paid,1098901,11798334
"Switzerland, Government of",2020-08-31,IMPACT Initiatives,True,commitment,0,4196307
"Switzerland, Government of",2020-07-06,United Nations Population Fund,False,paid,495050,495050
"Switzerland, Government of",2020-09-04,World Food Programme,False,paid,551876,551876
"Switzerland, Government of",2020-10-21,World Food Programme,False,paid,2173913,2173913
"Switzerland, Government of",2020-10-01,United Nations Relief and Works Agency for Palestine Refugees in the Near East,False,commitment,0,5818395
"Switzerland, Government of",2020-11-03,United Nations Children's Fund,False,paid,2173677,2173677
"Switzerland, Government of",2020-12-01,International Organization for Migration,False,commitment,0,1786533
"Switzerland, Government of",2020-11-01,International Committee of the Red Cross,False,commitment,0,3025464
Vital Strategies,2020-02-20,World Health Organization,False,commitment,0,500000
Vital Strategies,2020-04-20,World Health Organization,False,commitment,0,549925
Vital Strategies,2020-07-14,World Health Organization,False,commitment,0,683998
"Slovakia, Government of",2020-02-20,World Health Organization,False,commitment,0,220507
"Slovakia, Government of",2020-05-07,United Nations High Commissioner for Refugees,False,paid,54289,54289
Food & Agriculture Organization of the United Nations,2020-03-04,Food & Agriculture Organization of the United Nations,False,paid,200000,200000
Food & Agriculture Organization of the United Nations,2020-01-24,Food & Agriculture Organization of the United Nations,False,paid,425961,425961
Food & Agriculture Organization of the United Nations,2020-04-27,United Nations Children's Fund,False,paid,12451,12451
Food & Agriculture Organization of the United Nations,2020-05-27,Food & Agriculture Organization of the United Nations,False,paid,200000,200000
Food & Agriculture Organization of the United Nations,2020-04-10,Food & Agriculture Organization of the United Nations,False,paid,500000,500000
Food & Agriculture Organization of the United Nations,2020-04-24,Food & Agriculture Organization of the United Nations,False,paid,300000,300000
Food & Agriculture Organization of the United Nations,2020-06-29,Food & Agriculture Organization of the United Nations,False,paid,1572000,1572000
Food & Agriculture Organization of the United Nations,2020-08-17,Food & Agriculture Organization of the United Nations,False,paid,150000,150000
Food & Agriculture Organization of the United Nations,2020-11-16,Smile Again Africa Development Organization,True,paid,336072,336072
"United Kingdom, Government of",2020-03-20,World Health Organization,False,commitment,0,1899841
"United Kingdom, Government of",2020-03-24,World Health Organization,False,commitment,0,2587322
"United Kingdom, Government of",2020-03-01,World Health Organization,False,commitment,0,3285707
"United Kingdom, Government of",2020-04-01,World Health Organization,False,commitment,0,778847
"United Kingdom, Government of",2020-06-08,United Nations Children's Fund,False,paid,9903095,9903095
"United Kingdom, Government of",2020-04-12,United Nations Children's Fund,False,commitment,56094720,136639950
"United Kingdom, Government of",2020-05-07,World Food Programme,False,paid,29566131,29566131
"United Kingdom, Government of",2020-04-02,World Health Organization,False,commitment,0,70749726
"United Kingdom, Government of",2020-02-03,World Health Organization,False,commitment,0,5927213
"United Kingdom, Government of",2020-02-01,World Health Organization,False,commitment,0,3358711
"United Kingdom, Government of",2020-04-20,United Nations Children's Fund,False,paid,10579805,10579805
"United Kingdom, Government of",2020-05-21,United Nations Children's Fund,False,paid,1025214,1025214
"United Kingdom, Government of",2020-10-06,United Nations Children's Fund,False,paid,14222303,14222303
"United Kingdom, Government of",2020-04-07,Plan International,True,commitment,0,1219475
"United Kingdom, Government of",2020-04-16,Plan International,True,commitment,0,1150001
"United Kingdom, Government of",2020-04-17,World Health Organization,False,commitment,0,1523088
"United Kingdom, Government of",2020-06-19,International Organization for Migration,False,commitment,0,2542236
"United Kingdom, Government of",2020-10-26,United Nations Children's Fund,False,paid,10267362,10267362
"United Kingdom, Government of",2020-05-27,World Food Programme,False,paid,4117701,4117701
"United Kingdom, Government of",2020-05-01,World Health Organization,False,commitment,0,621118
"United Kingdom, Government of",2020-05-12,International Organization for Migration,False,paid,3491720,8673656
"United Kingdom, Government of",2020-04-24,ACT Alliance / Christian Aid,True,commitment,0,19907303
"United Kingdom, Government of",2018-02-01,International Organization for Migration,False,paid,1202926,1202926
"United Kingdom, Government of",2020-07-20,United Nations Children's Fund,False,paid,519623,519623
"United Kingdom, Government of",2020-03-30,International Organization for Migration,False,paid,1034929,1034929
"United Kingdom, Government of",2020-07-24,United Nations High Commissioner for Refugees,False,paid,448688,448688
"United Kingdom, Government of",2020-04-21,United Nations Development Programme,False,paid,2607562,2607562
"United Kingdom, Government of",2020-08-14,Social Fund for Development,True,paid,3911343,3911343
"United Kingdom, Government of",2020-08-21,HelpAge International UK,True,paid,341793,341793
"United Kingdom, Government of",2019-08-13,International Committee of the Red Cross,False,commitment,0,3807107
"United Kingdom, Government of",2020-08-13,International Organization for Migration,False,commitment,0,2607562
"United Kingdom, Government of",2020-08-27,United Nations High Commissioner for Refugees,False,paid,3869597,3869597
"United Kingdom, Government of",2020-07-05,Solidarités International,True,commitment,0,519651
"United Kingdom, Government of",2020-09-01,World Health Organization,False,paid,14151055,14151055
"United Kingdom, Government of",2020-09-18,World Health Organization,False,commitment,0,1289674
"United Kingdom, Government of",2020-03-25,United Nations Children's Fund,False,paid,3285899,3285899
"United Kingdom, Government of",2020-08-02,United Nations Population Fund,False,paid,52413,52413
"United Kingdom, Government of",2020-06-17,United Nations Population Fund,False,paid,24107,24107
"United Kingdom, Government of",2020-07-22,United Nations Population Fund,False,paid,22921,22921
"United Kingdom, Government of",2020-10-01,Disaster Emergency Committee Coronavirus Appeal,True,paid,10437847,10437847
"United Kingdom, Government of",2020-08-11,World Food Programme,False,paid,45551,45551
"United Kingdom, Government of",2020-10-15,Action Contre la Faim,True,paid,5469756,5469756
"United Kingdom, Government of",2020-02-10,International Organization for Migration,False,paid,1940492,1940492
"United Kingdom, Government of",2020-09-16,International Committee of the Red Cross,False,paid,3880983,3880983
"United Kingdom, Government of",2020-09-15,International Committee of the Red Cross,False,paid,1293661,1293661
"United Kingdom, Government of",2020-11-04,United Nations High Commissioner for Refugees,False,paid,66841,66841
"United Kingdom, Government of",2020-11-09,World Health Organization,False,paid,2000000,2700000
"United Kingdom, Government of",2020-12-01,International Organization for Migration,False,commitment,78439,325939
"United Kingdom, Government of",2020-01-01,Sudan Evangelical Mission,True,commitment,0,212936
"United Kingdom, Government of",2020-11-24,United Nations Children's Fund,False,paid,34478,34478
World Bank,2020-03-01,World Health Organization,False,commitment,0,3700000
World Bank,2020-04-14,World Health Organization,False,commitment,0,20000000
World Bank,2020-06-22,World Health Organization,False,commitment,0,5211971
World Bank,2020-04-30,United Nations Children's Fund,False,paid,848790,848790
World Bank,2020-05-04,United Nations Children's Fund,False,paid,25095550,25095550
World Bank,2020-06-15,United Nations Children's Fund,False,paid,9341626,9341626
World Bank,2020-05-08,United Nations Children's Fund,False,paid,1947962,1947962
World Bank,2020-05-12,United Nations Children's Fund,False,paid,735197,735197
World Bank,2020-05-15,World Health Organization,False,commitment,0,5562072
World Bank,2020-05-21,World Health Organization,False,commitment,0,4772713
World Bank,2020-06-19,World Health Organization,False,commitment,0,10320223
World Bank,2020-06-09,United Nations Children's Fund,False,paid,600000,600000
World Bank,2020-07-14,United Nations Children's Fund,False,paid,453831,10158770
World Bank,2020-06-16,United Nations Children's Fund,False,paid,2636419,2636419
World Bank,2020-06-18,United Nations Children's Fund,False,paid,3078449,3078449
World Bank,2020-06-29,United Nations Children's Fund,False,paid,8236953,8236953
World Bank,2020-07-06,United Nations Children's Fund,False,paid,1632612,1632612
World Bank,2020-07-13,United Nations Children's Fund,False,paid,5399890,5399890
World Bank,2020-07-09,United Nations Children's Fund,False,paid,2843297,2843297
World Bank,2020-07-20,World Health Organization,False,commitment,1000000,3047422
World Bank,2020-05-13,United Nations High Commissioner for Refugees,False,paid,49500,49500
World Bank,2020-06-26,United Nations Population Fund,False,paid,1625598,1625598
World Bank,2020-06-08,United Nations Population Fund,False,paid,8458840,8458840
World Bank,2020-05-22,United Nations Population Fund,False,paid,186905,186905
World Bank,2020-07-21,World Health Organization,False,commitment,0,2923851
World Bank,2020-07-15,United Nations Children's Fund,False,paid,782484,782484
World Bank,2020-07-28,United Nations Children's Fund,False,paid,1217200,1217200
World Bank,2020-08-20,World Health Organization,False,commitment,0,1000000
World Bank,2020-09-09,World Health Organization,False,commitment,0,10537457
World Bank,2020-09-15,United Nations Children's Fund,False,paid,900000,900000
World Bank,2020-09-18,World Health Organization,False,commitment,0,13869225
World Bank,2020-07-07,United Nations Population Fund,False,paid,898800,898800
World Bank,2020-07-29,United Nations Population Fund,False,paid,537552,537552
World Bank,2020-08-14,United Nations Population Fund,False,paid,884258,884258
World Bank,2020-08-23,United Nations Population Fund,False,paid,349785,349785
World Bank,2020-10-08,United Nations Children's Fund,False,paid,6449332,6834226
World Bank,2020-06-01,United Nations Population Fund,False,paid,500000,500000
World Bank,2020-10-06,United Nations Children's Fund,False,paid,8564461,8564461
World Bank,2020-09-02,World Health Organization,False,paid,5000000,5000000
World Bank,2020-03-15,Pan-American Health Organization (World Health Organization),False,paid,5900000,5900000
World Bank,2020-10-26,United Nations Children's Fund,False,paid,409336,409336
"Japan, Government of",2020-03-13,World Health Organization,False,commitment,100000,46100000
"Japan, Government of",2020-03-19,United Nations Children's Fund,False,paid,79597499,79597499
"Japan, Government of",2020-03-05,World Health Organization,False,commitment,0,1500000
"Japan, Government of",2020-02-25,World Food Programme,False,paid,727272,727272
"Japan, Government of",2020-04-20,United Nations Office for Project Services,False,commitment,0,1000000
"Japan, Government of",2020-06-04,United Nations Children's Fund,False,paid,4222800,5768254
"Japan, Government of",2020-05-27,United Nations Office for Project Services,False,paid,39489972,39489972
"Japan, Government of",2020-06-01,United Nations Children's Fund,False,paid,69492189,69492189
"Japan, Government of",2020-05-28,United Nations Volunteers Programme,False,paid,892800,892800
"Japan, Government of",2020-06-19,"Haiti, Government of",False,commitment,3701327,114248294
"Japan, Government of",2020-05-22,Oficina Panamericana de la Salud,True,paid,2727272,2727272
"Japan, Government of",2020-06-03,United Nations Development Programme,False,paid,58060540,58060540
"Japan, Government of",2020-06-26,International Organization for Migration,False,paid,49920027,49920027
"Japan, Government of",2020-07-14,"Kyrgyzstan, Government of",False,commitment,0,5084964
"Japan, Government of",2020-07-06,"Cote d'Ivoire, Government of",False,commitment,186565,5318598
"Japan, Government of",2020-06-05,"Myanmar, Government of",False,commitment,0,51039346
"Japan, Government of",2020-06-07,"Maldives, Government of",False,commitment,0,5567929
"Japan, Government of",2020-06-08,"Philippines, Government of",False,commitment,0,18559762
"Japan, Government of",2020-06-09,"Tunisia, Government of",False,commitment,0,4639941
"Japan, Government of",2020-06-11,"Samoa, Government of",False,commitment,0,1391982
"Japan, Government of",2020-06-12,"Honduras, Government of",False,commitment,0,9112843
"Japan, Government of",2020-06-15,"Palau, Government of",False,commitment,0,2808989
"Japan, Government of",2020-06-16,"Jamaica, Government of",False,commitment,0,6554307
"Japan, Government of",2020-06-17,"Uzbekistan, Government of",False,commitment,0,17790263
"Japan, Government of",2020-06-18,"Tuvalu, Government of",False,commitment,0,936330
"Japan, Government of",2020-06-22,"Panama, Government of",False,commitment,0,8426967
"Japan, Government of",2020-06-23,"Bhutan, Government of",False,commitment,0,3745319
"Japan, Government of",2020-06-25,"Dominican Republic, Government of",False,commitment,0,14044944
"Japan, Government of",2020-06-29,"Armenia, Government of",False,commitment,0,8426966
"Japan, Government of",2020-07-02,"Ghana, Government of",False,commitment,0,7464776
"Japan, Government of",2020-07-03,"Bolivia, Government of",False,commitment,0,2799291
"Japan, Government of",2020-07-07,"Benin, Government of",False,commitment,0,2799291
"Japan, Government of",2020-07-08,"Sierra Leone, Government of",False,commitment,0,11197164
"Japan, Government of",2020-07-10,"Morocco, Government of",False,commitment,0,4665485
"Japan, Government of",2020-07-13,"Djibouti, Government of",False,commitment,0,4665485
"Japan, Government of",2020-07-15,"Mauritania, Government of",False,commitment,0,932401
"Japan, Government of",2020-07-16,"Gabon, Government of",False,commitment,0,12121212
"Japan, Government of",2020-05-20,,True,paid,14073935,14073935
"Japan, Government of",2020-02-18,United Nations Population Fund,False,paid,340909,340909
"Japan, Government of",2020-06-02,World Food Programme,False,paid,1080800,1080800
"Japan, Government of",2020-09-18,Association for Aid and Relief Japan,True,paid,525960,525960
"Japan, Government of",2020-10-13,World Food Programme,False,paid,1420000,1420000
"Japan, Government of",2020-09-23,World Food Programme,False,paid,1884481,1884481
"Japan, Government of",2020-11-10,Peace Winds Japan,True,paid,947777,947777
"Japan, Government of",2020-11-04,United Nations High Commissioner for Refugees,False,paid,1205937,1205937
"Luxembourg, Government of",2020-04-01,World Health Organization,False,commitment,0,219780
"Luxembourg, Government of",2020-04-20,United Nations Children's Fund,False,paid,163755,163755
"Luxembourg, Government of",2020-05-19,United Nations High Commissioner for Refugees,False,paid,98218,98218
"Luxembourg, Government of",2020-05-22,United Nations Children's Fund,False,paid,1085776,1085776
"Luxembourg, Government of",2020-06-22,World Health Organization,False,commitment,0,1013729
"Luxembourg, Government of",2020-04-07,Handicap International / Humanity & Inclusion,True,paid,168653,168653
"Luxembourg, Government of",2020-07-01,United Nations Children's Fund,False,paid,1617299,1617299
"Luxembourg, Government of",2020-07-20,United Nations Children's Fund,False,paid,852273,852273
"Luxembourg, Government of",2020-06-11,United Nations Population Fund,False,paid,380794,380794
"Luxembourg, Government of",2020-12-04,Handicap International / Humanity & Inclusion,True,commitment,0,521684
"Luxembourg, Government of",2020-12-03,CARITAS,True,commitment,0,976105
King Baudouin Foundation.,2020-03-02,World Health Organization,False,commitment,0,250000
King Baudouin Foundation.,2020-04-03,World Health Organization,False,commitment,0,3000000
"United States of America, Government of",2020-03-24,World Health Organization,False,commitment,0,6897325
"United States of America, Government of",2020-03-27,United Nations Children's Fund,False,paid,1100000,1100000
"United States of America, Government of",2020-03-29,United Nations Children's Fund,False,paid,2662473,2662473
"United States of America, Government of",2020-06-26,United Nations Children's Fund,False,paid,15349999,15349999
"United States of America, Government of",2020-03-09,United Nations Children's Fund,False,paid,600000,600000
"United States of America, Government of",2020-04-14,World Health Organization,False,pledge,0,15000000
"United States of America, Government of",2020-04-01,World Health Organization,False,commitment,0,15597325
"United States of America, Government of",2020-04-24,United Nations High Commissioner for Refugees,False,paid,43940000,44440000
"United States of America, Government of",2020-05-06,United Nations Children's Fund,False,paid,7746448,7746448
"United States of America, Government of",2020-10-26,United Nations Children's Fund,False,paid,712800,712800
"United States of America, Government of",2020-04-20,United Nations Children's Fund,False,paid,3178000,3178000
"United States of America, Government of",2020-07-13,United Nations Children's Fund,False,paid,4000000,4000000
"United States of America, Government of",2020-06-16,Save the Children,True,paid,28564069,28564069
"United States of America, Government of",2020-07-15,International Organization for Migration,False,paid,8000000,67650130
"United States of America, Government of",2020-03-20,World Food Programme,False,paid,300000,300000
"United States of America, Government of",2020-05-26,International Organization for Migration,False,paid,17407158,17407158
"United States of America, Government of",2020-05-18,NGOs (details not yet provided),True,paid,6000000,6000000
"United States of America, Government of",2020-04-29,Catholic Relief Services,True,paid,5000000,5000000
"United States of America, Government of",2020-04-30,United Nations Children's Fund,False,paid,4553337,4553337
"United States of America, Government of",2020-10-06,United Nations Children's Fund,False,paid,5294503,18285503
"United States of America, Government of",2020-05-19,International Organization for Migration,False,commitment,1679816,14049816
"United States of America, Government of",2020-06-02,United Nations High Commissioner for Refugees,False,commitment,32930000,37990000
"United States of America, Government of",2020-05-04,International Committee of the Red Cross,False,commitment,0,1905000
"United States of America, Government of",2020-10-20,World Health Organization,False,commitment,176000,176000
"United States of America, Government of",2020-06-15,United Nations Children's Fund,False,paid,24590000,24590000
"United States of America, Government of",2020-06-12,International Organization for Migration,False,commitment,25310840,26010840
"United States of America, Government of",2020-06-01,Internews,True,paid,700001,700001
"United States of America, Government of",2020-06-24,NGOs (details not yet provided),True,commitment,1100000,7585000
"United States of America, Government of",2020-06-08,International Organization for Migration,False,commitment,2869478,4219478
"United States of America, Government of",2020-03-01,World Health Organization,False,commitment,0,6397325
"United States of America, Government of",2020-07-01,Mercy Corps,True,commitment,13500000,33155543
"United States of America, Government of",2020-06-05,International Committee of the Red Cross,False,commitment,10000000,10850000
"United States of America, Government of",2020-06-14,World Food Programme,False,paid,10000000,10000000
"United States of America, Government of",2020-07-14,Save the Children,True,paid,13800000,13800000
"United States of America, Government of",2020-06-13,World Food Programme,False,paid,11630000,11630000
"United States of America, Government of",2020-06-19,International Federation of Red Cross and Red Crescent Societies,False,paid,8898607,8898607
"United States of America, Government of",2020-06-03,NGOs (details not yet provided),True,commitment,0,3100000
"United States of America, Government of",2020-06-29,NGOs (details not yet provided),True,paid,2900000,2900000
"United States of America, Government of",2020-06-21,NGOs (details not yet provided),True,paid,900000,900000
"United States of America, Government of",2020-06-10,United Nations Children's Fund,False,paid,910000,910000
"United States of America, Government of",2020-04-27,United Nations High Commissioner for Refugees,False,paid,13165000,13165000
"United States of America, Government of",2020-06-18,Food & Agriculture Organization of the United Nations,False,commitment,0,6200494
"United States of America, Government of",2020-07-10,International Rescue Committee,True,paid,4129946,4129946
"United States of America, Government of",2020-06-25,World Food Programme,False,paid,13892875,13892875
"United States of America, Government of",2020-06-11,OXFAM,True,commitment,3400000,3670000
"United States of America, Government of",2020-07-09,United Nations Children's Fund,False,commitment,19700000,28699054
"United States of America, Government of",2020-07-08,United Nations Children's Fund,False,commitment,27147442,53470367
"United States of America, Government of",2020-07-06,Save the Children,True,paid,2099089,2099089
"United States of America, Government of",2020-07-07,Food & Agriculture Organization of the United Nations,False,paid,5700028,5700028
"United States of America, Government of",2020-06-23,International Federation of Red Cross and Red Crescent Societies,False,commitment,400000,2124000
"United States of America, Government of",2020-07-02,International Committee of the Red Cross,False,commitment,12488552,17767552
"United States of America, Government of",2020-10-22,International Rescue Committee,True,commitment,0,4736165
"United States of America, Government of",2020-11-24,United Nations Children's Fund,False,paid,216000,4316000
"United States of America, Government of",2019-07-17,World Food Programme,False,paid,59000,59000
"United States of America, Government of",2020-07-12,Project Concern International,True,paid,1800000,1800000
"United States of America, Government of",2020-07-31,International Organization for Migration,False,paid,5376900,5376900
"United States of America, Government of",2020-07-17,World Food Programme,False,commitment,2900000,14849507
"United States of America, Government of",2020-07-23,International Organization for Migration,False,paid,2000000,2000000
"United States of America, Government of",2020-06-30,TEARFUND,True,commitment,2500000,7525611
"United States of America, Government of",2020-07-11,World Food Programme,False,paid,11000000,11000000
"United States of America, Government of",2020-07-28,Johns Hopkins University,True,commitment,28100136,29744972
"United States of America, Government of",2020-11-05,International Committee of the Red Cross,False,commitment,0,2325000
"United States of America, Government of",2020-07-20,United Nations Children's Fund,False,paid,1500000,1500000
"United States of America, Government of",2020-07-24,International Rescue Committee,True,commitment,58491105,79702027
"United States of America, Government of",2020-07-16,United Nations High Commissioner for Refugees,False,paid,50200000,50200000
"United States of America, Government of",2020-07-22,NGOs (details not yet provided),True,commitment,461000,6790583
"United States of America, Government of",2020-07-27,Save the Children,True,paid,2000000,2000000
"United States of America, Government of",2020-05-11,World Food Programme,False,paid,500000,500000
"United States of America, Government of",2020-08-12,International Organization for Migration,False,pledge,0,1000000
"United States of America, Government of",2020-07-03,United Nations Children's Fund,False,paid,1172800,1172800
"United States of America, Government of",2020-09-01,Office for the Coordination of Humanitarian Affairs,False,commitment,0,500000
"United States of America, Government of",2020-09-09,Food & Agriculture Organization of the United Nations,False,paid,400000,400000
"United States of America, Government of",2020-09-04,Triangle Génération Humanitaire,True,commitment,0,99000
"United States of America, Government of",2020-09-07,NGOs,True,commitment,0,5300000
"United States of America, Government of",2020-08-29,United Nations High Commissioner for Refugees,False,paid,6500000,6500000
"United States of America, Government of",2020-09-12,NGOs (details not yet provided),True,commitment,0,649997
"United States of America, Government of",2020-09-15,Concern Worldwide,True,commitment,0,489459
"United States of America, Government of",2020-09-17,World Food Programme,False,paid,6500000,6500000
"United States of America, Government of",2020-08-31,World Food Programme,False,paid,1903823,3403823
"United States of America, Government of",2020-09-28,Agency for Technical Cooperation and Development,True,commitment,0,1100000
"United States of America, Government of",2020-09-30,World Food Programme,False,paid,27079700,41728171
"United States of America, Government of",2020-09-16,World Food Programme,False,paid,47400000,47400000
