...1,iati_identifier,reporting_org_text,reporting_org_ref,reporting_org_type,value_USD,transaction_date,transaction_type_code,transaction_type,provider_text,provider_ref,provider_type,receiver_text,receiver_ref,receiver_type,finance_type,covid_relevant,humanitarian,covid_matches,sector,country_region,value_USD_proportionate,id
13831,DK-CVR-20699310-DK19938,Danish Refugee Council,DK-CVR-20699310,21,23686509.05268768,2020-02-03,13,Incoming Pledge,Denmark- Ministry of Foreign Affairs,XM-DAC-3,NA,Danish Refugee Council,DK-CVR-20699310,21,110,MAYBE,NA,"('transaction-description',)",15123,998,23686509.05268768,13831
13834,DK-CVR-20699310-DK19938,Danish Refugee Council,DK-CVR-20699310,21,12772819.44023119,2020-09-10,1,Incoming Funds,Denmark - Ministry of Foreign Affairs,XM-DAC-3-1,NA,Danish Refugee Council,DK-CVR-20699310,21,110,MAYBE,NA,"('transaction-description',)",15123,998,12772819.44023119,13834
13835,DK-CVR-20699310-DK19938,Danish Refugee Council,DK-CVR-20699310,21,11887334.22369467,2020-02-03,1,Incoming Funds,Denmark - Ministry of Foreign Affairs,XM-DAC-3-1,NA,Danish Refugee Council,DK-CVR-20699310,21,110,MAYBE,NA,"('transaction-description',)",15123,998,11887334.22369467,13835
13836,DK-CVR-20699310-DK19938,Danish Refugee Council,DK-CVR-20699310,21,23774668.44738933,2020-02-03,11,Incoming Commitment,Denmark - Ministry of Foreign Affairs,XM-DAC-3-1,NA,Danish Refugee Council,DK-CVR-20699310,21,110,MAYBE,NA,"('transaction-description',)",15123,998,23774668.44738933,13836
13837,DK-CVR-20699310-DK19938,Danish Refugee Council,DK-CVR-20699310,21,5575199.166654441,2020-05-19,13,Incoming Pledge,"Ministry of Foreign Affairs, Denmark",XM-DAC-3,NA,Danish Refugee Council,DK-CVR-20699310,21,110,MAYBE,NA,"('transaction-description',)",15123,998,5575199.166654441,13837
13838,DK-CVR-20699310-DK19938,Danish Refugee Council,DK-CVR-20699310,21,5552733.727713811,2020-05-19,11,Incoming Commitment,Denmark - Ministry of Foreign Affairs,XM-DAC-3-1,NA,Danish Refugee Council,DK-CVR-20699310,21,110,YES,NA,"('transaction-description',)",15123,998,5552733.727713811,13838
13839,DK-CVR-20699310-DK19938,Danish Refugee Council,DK-CVR-20699310,21,1710838.310772278,2020-06-19,1,Incoming Funds,Denmark - Ministry of Foreign Affairs,XM-DAC-3-1,NA,Danish Refugee Council,DK-CVR-20699310,21,110,YES,NA,"('transaction-description',)",15123,998,1710838.310772278,13839
13840,DK-CVR-20699310-DK19938,Danish Refugee Council,DK-CVR-20699310,21,2123718.583335995,2020-05-20,1,Incoming Funds,Denmark - Ministry of Foreign Affairs,XM-DAC-3-1,NA,Danish Refugee Council,DK-CVR-20699310,21,110,YES,NA,"('transaction-description',)",15123,998,2123718.583335995,13840
13843,DK-CVR-20699310-DK19938,Danish Refugee Council,DK-CVR-20699310,21,2127795.731609765,2020-11-27,1,Incoming Funds,Denmark - Ministry of Foreign Affairs,XM-DAC-3-1,NA,Danish Refugee Council,DK-CVR-20699310,21,110,YES,NA,"('transaction-description',)",15123,998,2127795.731609765,13843
13844,DK-CVR-20699310-DRCCOL19,Danish Refugee Council,DK-CVR-20699310,21,689612.3668951459,2020-06-01,1,Incoming Funds,European Commission - DG European Civil Protection and Humanitarian Aid Operations (ECHO),XI-IATI-EC_ECHO,NA,Danish Refugee Council,DK-CVR-20699310,21,110,MAYBE,NA,"('title', 'description', 'transaction-description')",72010,CO,222399.9883236845,13844
13845,DK-CVR-20699310-DRCCOL19,Danish Refugee Council,DK-CVR-20699310,21,689612.3668951459,2020-06-01,1,Incoming Funds,European Commission - DG European Civil Protection and Humanitarian Aid Operations (ECHO),XI-IATI-EC_ECHO,NA,Danish Refugee Council,DK-CVR-20699310,21,110,MAYBE,NA,"('title', 'description', 'transaction-description')",72050,CO,5172.092751713594,13845
13846,DK-CVR-20699310-DRCCOL19,Danish Refugee Council,DK-CVR-20699310,21,689612.3668951459,2020-06-01,1,Incoming Funds,European Commission - DG European Civil Protection and Humanitarian Aid Operations (ECHO),XI-IATI-EC_ECHO,NA,Danish Refugee Council,DK-CVR-20699310,21,110,MAYBE,NA,"('title', 'description', 'transaction-description')",15160,CO,462040.2858197477,13846
13847,DK-CVR-20699310-DRCCOL19,Danish Refugee Council,DK-CVR-20699310,21,37590.80748049953,2020-10-01,1,Incoming Funds,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,NA,Danish Refugee Council,DK-CVR-20699310,21,110,MAYBE,NA,"('title', 'description', 'transaction-description')",72010,CO,12123.0354124611,13847
13848,DK-CVR-20699310-DRCCOL19,Danish Refugee Council,DK-CVR-20699310,21,37590.80748049953,2020-10-01,1,Incoming Funds,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,NA,Danish Refugee Council,DK-CVR-20699310,21,110,MAYBE,NA,"('title', 'description', 'transaction-description')",72050,CO,281.9310561037465,13848
13849,DK-CVR-20699310-DRCCOL19,Danish Refugee Council,DK-CVR-20699310,21,37590.80748049953,2020-10-01,1,Incoming Funds,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,NA,Danish Refugee Council,DK-CVR-20699310,21,110,MAYBE,NA,"('title', 'description', 'transaction-description')",15160,CO,25185.84101193468,13849
13850,DK-CVR-20699310-DRCCOL19,Danish Refugee Council,DK-CVR-20699310,21,2134632.188943668,2020-10-01,11,Incoming Commitment,MULTIPLE,MULTIPLE,NA,Danish Refugee Council,DK-CVR-20699310,21,110,MAYBE,NA,"('title', 'description', 'transaction-description')",72010,CO,688418.8809343331,13850
13851,DK-CVR-20699310-DRCCOL19,Danish Refugee Council,DK-CVR-20699310,21,2134632.188943668,2020-10-01,11,Incoming Commitment,MULTIPLE,MULTIPLE,NA,Danish Refugee Council,DK-CVR-20699310,21,110,MAYBE,NA,"('title', 'description', 'transaction-description')",72050,CO,16009.74141707751,13851
13852,DK-CVR-20699310-DRCCOL19,Danish Refugee Council,DK-CVR-20699310,21,2134632.188943668,2020-10-01,11,Incoming Commitment,MULTIPLE,MULTIPLE,NA,Danish Refugee Council,DK-CVR-20699310,21,110,MAYBE,NA,"('title', 'description', 'transaction-description')",15160,CO,1430203.566592258,13852
