id,time
206852,274
206964,261
206965,274
206966,274
206968,261
206970,274
206973,230
207367,274
207368,276
207369,261
207372,274
207375,274
207849,272
207850,272
207851,272
207853,272
207854,272
207855,272
207856,272
207857,272
207858,272
207859,272
207939,268
208045,261
208080,262
208095,274
208096,261
208098,272
208100,261
208102,230
208110,252
208111,230
208112,90
208113,255
208114,255
208116,261
208121,281
208143,260
208194,255
208214,263
208216,263
208221,263
208222,263
208232,273
208234,261
208287,259
208289,259
208292,259
208293,259
208294,259
208304,258
208330,258
208331,262
208335,258
208337,261
208338,281
208339,281
208340,258
208408,255
208410,255
208478,276
208480,276
208481,276
208482,276
208644,280
208645,274
208692,252
208695,252
208696,252
208699,252
208700,252
208780,251
208864,251
208928,248
208940,248
208947,248
208949,248
208950,248
208953,248
208954,248
209043,247
209132,247
209133,247
209134,246
209136,246
209137,246
209155,246
209159,280
209160,279
209163,246
209165,277
209166,276
209168,246
209234,245
209341,244
209342,244
209397,241
209505,241
209506,241
209368,274
209369,274
209370,273
209371,272
209372,272
209373,276
209430,267
209431,266
209432,258
209433,258
209436,268
209437,271
209792,244
209793,241
209851,237
209860,237
209862,237
209863,237
209865,237
209761,248
209811,238
209914,245
209915,245
209916,245
209755,251
209756,251
209757,251
209758,251
209759,251
209772,240
209810,238
209885,237
209887,237
209888,237
209931,234
209932,234
209933,234
209934,234
209935,234
209936,234
209937,234
209938,234
209939,234
209940,234
209941,234
209943,234
210020,234
210021,233
210031,266
210032,266
210033,266
210034,233
210083,245
210112,241
210139,232
210140,232
210141,232
210142,232
210143,232
210144,232
210172,245
210173,245
210174,245
210230,268
210231,259
209337,244
209754,279
210149,237
210216,233
210217,234
210218,232
210306,277
210307,277
210308,248
210311,253
209809,238
210237,230
210336,245
210337,260
210349,258
210351,230
210353,227
210355,230
210356,255
210360,230
210361,230
210363,261
210364,230
210365,230
210366,230
210367,230
210368,230
210455,230
210467,195
210471,230
210488,224
210491,244
210492,244
210493,244
210507,224
210510,224
210548,195
210549,230
210586,224
209164,246
209881,237
209883,237
210819,210
210863,219
210864,236
210865,232
210866,245
210870,219
210879,226
210903,226
210905,226
210906,226
210907,226
210910,226
210941,195
210952,195
210958,219
211066,217
211067,217
211068,217
211107,217
211180,217
211181,217
211182,217
211183,217
211184,217
211185,217
211207,217
211217,245
211236,217
211258,217
211260,217
211261,217
211264,216
211265,217
211095,217
211191,216
211452,214
211453,214
211454,214
211455,214
211456,214
211515,231
211516,231
211570,272
211586,260
211587,244
211588,244
210862,244
207483,274
210158,232
210312,277
210429,225
210453,274
211211,245
211262,217
207732,276
208084,273
